	_Lo_Whipa_Base_Comb.	_Lo_Whipa_Base_Comb.	_Lo_Whipa_Base_Comb.	ZIPA-T-SMALL	ZIPA-T-SMALL	ZIPA-T-SMALL	_Lo_Whipa_Large_Comb.	_Lo_Whipa_Large_Comb.	_Lo_Whipa_Large_Comb.	_Lo_Whipa_Base_ASC	_Lo_Whipa_Base_ASC	_Lo_Whipa_Base_ASC	ZIPA-T-LARGE	ZIPA-T-LARGE	ZIPA-T-LARGE	ZIPA-CR-NS-SMALL	ZIPA-CR-NS-SMALL	ZIPA-CR-NS-SMALL	Whipa_Large_CV	Whipa_Large_CV	Whipa_Large_CV	MultIPA	MultIPA	MultIPA	ZIPA-CR-NS-LARGE	ZIPA-CR-NS-LARGE	ZIPA-CR-NS-LARGE	_Lo_Whipa_Base_CV	_Lo_Whipa_Base_CV	_Lo_Whipa_Base_CV	Whipa_Base_CV	Whipa_Base_CV	Whipa_Base_CV	_Lo_Whipa_Large_ASC	_Lo_Whipa_Large_ASC	_Lo_Whipa_Large_ASC	_Lo_Whipa_Large_CV	_Lo_Whipa_Large_CV	_Lo_Whipa_Large_CV
	pred	PFER	Anno	pred	PFER	Anno	pred	PFER	Anno	pred	PFER	Anno	pred	PFER	Anno	pred	PFER	Anno	pred	PFER	Anno	pred	PFER	Anno	pred	PFER	Anno	pred	PFER	Anno	pred	PFER	Anno	pred	PFER	Anno	pred	PFER	Anno
æ m ə t ə	amɾ	44.583	4	æmətʃə	20.0	2	æmæt͡ʂɛr	24.583	2	ʔamɪtʃar	64.167	2	æmətʃɜ˞	22.083	2	æmətʃɜ˞	22.083	2	AMAT͡ʂɯɾ	24.583	1	amɛt͡ʃø	7.5	2	æmətʃə˞	22.083	2	ɛmɛtɛr	23.333	2	ɒmɒt͡ʃɒ	10.0	2	æːmaːtˤʃr	30.0	2	amɛt͡ʂɛr	23.75	2
ɡ æ m b l ɪ ŋ	ɣɛmbːlɛŋːɕ	17.857	2	gæmbəl̴ɪŋ	14.881	2	gambling	16.667	2	ɣɑmblɪn	4.167	2	gæmbəl̴ɪŋ	14.881	2	gæmbəl̴ɪŋ	14.881	4	gɛmbɭiŋ	3.274	4	tembleŋ	5.06	2	gæmbəlɪŋ	14.286	2	gɛmbling	17.262	4	ɒgɒgɒn	34.524	1	 Gæmbling.	16.071	1	ɡambling	16.667	1
f l a ɪ	fʂɑi	6.771	2	fl̴aɪ	1.042	2	fwɨː	34.375	2	fjaj	7.812	2	fl̴aɪ	1.042	4	flaɪ	0.0	0	ɸɯɾaj	30.729	2	faj	27.083	4	fwaɪ	8.854	2	fɒj	28.125	2	ɕɛɾ	40.104	2	fly	28.125	1	ɸwaj	11.979	2
f ɪ ɡ ə	fɾiɣa	29.167	4	fɪgjɜ˞	27.604	2	figa	3.125	2	 Figu	5.208	1	fɪgjə˞	27.604	4	fɪgjə˞	27.604	4	figɛɾ	27.083	4	θeʝa	9.896	2	fɪgjə˞	27.604	2	θigɛ	5.729	2	θiɾgɯ	30.729	2	figur	30.208	1	figɯɾ	27.083	2
k ɛ n i	keːnɻiːnː	53.125	2	kɛni	0.0	0	keɲːi	5.729	2	kani	3.125	2	kɛni	0.0	0	kɛni	0.0	0	keɲːi	5.729	2	kæni	2.083	2	kɛni	0.0	0	keɲi	4.688	2	keɯɯ	11.979	1	 Keni	1.042	1	keɲi	4.688	2
s iː k w ɪ n	sikwɯn	1.389	2	sikwən	2.083	2	sikwɛn	1.389	2	siqwɪn	1.389	2	sikwən	2.083	4	sikwən	2.083	2	sɛɡɯɛn	6.25	2	sikon	20.139	2	sikwən	2.083	2	sikwon	3.472	4	seɲɲɲɲ	14.236	1	siːqwɪn	694	2	sɨkwɨn	2.778	2
l æ m b d ə s ɪ z ə m	lɾɾɣɣɣɣɣɣɣɣɣɣɣɣɣɣɣɣɣ	103.22	1	læmdəsɪzəm	9.091	2	lamdacism	22.159	2	lamdˤɪsˤɪm	29.167	2	læmdəsɪzəm	9.091	4	læmdəsɪzəm	9.091	4	lamdacism	22.159	1	lamdɛsɨzɛm	10.985	2	læmdəsɪzəm	9.091	4	lɒndɛsɛzɛm	11.932	2	ɒmɒkɒkɒkɒk	27.462	1	 Lambdacism	13.068	1	lamdɛcisɛm	13.068	2
ɡ l æ n d	klɛnd	2.5	2	gl̴ænd	833	4	gland	833	2	ɣlænd	833	2	gl̴ænd	833	4	gl̴ænd	833	4	ɡlɛɛnd	21.667	2	itɔland	45.417	1	glænd	0.0	0	klɛhɛnd	42.5	2	ɲɲɒkɒnːd	50.417	1	glæːnd	833	4	glɛnd	1.667	2
d iː p n ə s	tiːtiːpɳasː	37.153	1	dipnəs	694	4	diːpnɛsː	1.389	2	tɪpnæs	4.167	2	dipnəs	694	4	dipnəs	694	4	dipnäsː	2.778	2	tipnas	2.778	2	dipnəs	694	4	dɛjpɯnɛs	36.111	2	ɯd͡ɯɖɯɖɯɖɯ	52.431	1	deepnæs	20.139	1	dipnɛs	1.389	2
